Wersja j?zykowa (PL/EN),Zgoda na udzia? (wszyscy = 1),Kod polecaj?cy (nieobligatoryjne),"Po raz kt¢ry gra (1 = 1, 2 = 2, 3 = 3, 4 i 4+ = 4)","P?e? (M??czyzna, Kobieta, Inna)",Skala Kinseya (0-6),"Biseksualno?? - scenariusz z kobiet? = F, scenariusz z m??czyzn? = M)",Wiek,"PozytywnaPrezentacja1 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja2 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja3 (a= sexy, b = kind,c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja4 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja5 (a= sexy, b = kind, c = wealthy, d = healthy, e = artistic)","PozytywnaPrezentacja6 (a= sexy, b = kind, c = wealthy, d= healthy,  e= artistic)","ObrzydliwaPrezencja1 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja2 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja3 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja4 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja5 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja6 (a = patogen, b = sex, c = moral)",Tybur1 (0-6),Tybur2 (0-6),Tybur3(0-6),Tybur4 (0-6),Tybur5 (0-6),Tybur6(0-6),Tybur7 (0-6),Tybur8 (0-6),Tybur9 (0-6),Tybur10 (0-6),Tybur11 (0-6),Tybur12 (0-6),Tybur13 (0-6),Tybur14 (0-6),Tybur15 (0-6),Tybur16 (0-6),Tybur17 (0-6),Tybur18 (0-6),Tybur19 (0-6),Tybur20 (0-6),Tybur21 (0-6),SelfArt (1-11),SelfHealth (1-11),SelfKind (1-11),SelfSexy (1-11),SelfWealth (1-11),IdealArt (1-11),IdealHealth (1-11),IdealKind (1-11),IdealSexy (1-11,IdealWealth (1-11),HasChildren?,HowManyKids,YoungestKidAge,OldestKidAge,"MilkVSCereal (a - milk first, b- cereal first)",attention check,relationship status,timestamp
en,TRUE,game,1,m,5,m,36,d,c,b,c,e,e,b,c,a,c,c,c,5,3,4,4,6,5,3,5,4,6,5,5,6,4,5,3,4,3,5,4,6,4,3,4,5,4,3,4,5,4,4,Yes,2,1,1,a,2,in relationship,2/24/2023 0:04
en,TRUE,NA,1,m,1,f,19,e,c,e,c,e,e,c,b,a,c,c,b,1,2,4,5,2,2,4,3,4,5,2,6,6,3,4,5,1,3,2,2,4,6,6,7,6,5,6,7,7,7,5,No,0,NA,NA,b,2,single,2/6/2023 22:44
en,TRUE,Sorok,1,f,2,m,29,e,c,e,b,e,b,c,b,c,c,c,c,4,4,3,4,0,2,4,0,2,5,5,3,5,2,2,3,5,3,5,0,5,7,6,8,7,7,6,6,8,6,6,No,0,NA,NA,b,2,in relationship,3/21/2023 18:07
en,TRUE,game,1,m,6,m,58,c,c,b,c,e,b,a,c,a,c,b,a,5,4,5,4,5,4,5,4,5,4,5,3,4,4,3,4,5,4,5,4,5,4,9,4,9,5,3,6,9,2,3,Yes,2,1,1,a,2,in relationship,2/6/2023 20:31
pl,TRUE,NA,1,f,1,m,34,e,e,a,e,a,e,c,c,b,c,c,a,1,1,3,5,0,2,2,0,3,5,4,2,3,0,3,3,5,4,4,0,2,6,7,8,6,7,6,8,9,6,7,Nie,0,NA,NA,b,2,single,12/17/2022 14:15
en,TRUE,game,2,m,3,m,30,d,e,a,c,c,e,c,a,b,c,a,c,0,3,1,3,1,3,1,3,2,4,2,2,4,1,4,1,4,1,3,1,4,3,3,1,4,4,3,1,3,5,4,Yes,1,3,NA,a,2,in relationship,2/23/2023 23:46
en,TRUE,game,1,m,0,f,25,b,c,e,b,d,e,a,a,b,a,b,a,4,3,4,4,4,3,3,5,4,3,4,4,3,3,2,3,4,5,4,4,3,4,6,7,7,8,6,6,8,7,6,No,0,NA,NA,a,2,single,3/29/2023 16:21
pl,TRUE,KG0902,1,f,0,m,22,b,c,e,b,e,e,c,c,b,c,c,a,1,5,5,3,6,1,0,0,2,6,5,5,1,3,4,3,5,5,2,6,2,7,6,10,8,6,8,9,11,9,10,Nie,0,NA,NA,b,2,in relationship,1/7/2023 16:18
pl,TRUE,NA,1,m,0,f,30,c,c,d,b,b,e,b,b,c,b,c,b,2,1,5,5,0,4,1,1,2,5,0,2,1,0,2,3,0,3,1,1,3,4,8,8,6,10,6,7,8,8,8,Nie,0,NA,NA,b,2,in relationship,12/18/2022 12:00
en,TRUE,game,1,m,5,m,23,e,e,a,e,d,a,c,a,c,c,b,a,6,5,6,5,6,5,6,5,5,6,5,2,2,6,5,6,5,6,5,6,5,3,5,4,4,4,4,5,4,4,5,Yes,2,NA,2,b,2,in relationship,3/29/2023 17:22
en,TRUE,game,1,m,0,f,35,b,c,b,e,b,c,a,b,b,c,a,c,3,4,3,5,5,5,4,5,4,4,5,3,4,3,4,4,4,5,3,3,4,6,9,9,8,8,7,7,9,8,9,Yes,1,2,NA,b,2,in relationship,2/23/2023 23:53
en,TRUE,game,1,m,5,m,63,c,d,e,b,d,c,b,c,a,c,b,c,5,4,4,5,4,5,6,5,5,6,5,6,5,5,4,6,5,4,4,5,4,3,2,7,5,8,7,5,8,8,9,Yes,2,10,18,b,2,in relationship,3/21/2023 17:10
pl,TRUE,NA,1,f,1,m,27,e,b,a,d,a,e,c,c,b,a,b,b,4,2,1,3,2,1,3,4,5,3,0,3,4,4,5,1,2,3,2,1,4,7,6,7,5,7,7,6,8,6,8,Nie,0,NA,NA,a,2,in relationship,12/17/2022 15:20
pl,TRUE,NA,1,m,0,f,35,a,a,b,a,a,a,c,a,c,a,c,b,4,1,3,6,6,6,4,6,4,6,4,6,6,2,4,6,6,0,6,0,4,1,7,6,8,6,6,6,6,6,8,Tak,1,5,NA,b,2,in relationship,1/30/2023 22:20
pl,TRUE,NA,1,f,6,f,19,e,c,a,c,e,e,c,b,c,b,c,c,1,2,2,1,0,1,1,0,1,2,1,2,1,0,1,1,1,2,1,0,1,7,8,6,8,6,8,8,7,7,7,Nie,0,NA,NA,b,2,single,2/12/2023 19:15
en,TRUE,gane,1,m,6,m,31,e,e,b,b,e,b,c,b,c,c,c,b,4,2,4,5,2,3,5,1,2,4,2,1,4,1,5,3,2,3,2,0,3,8,6,6,7,5,6,6,6,6,6,No,0,NA,NA,b,2,in relationship,3/29/2023 16:16
en,TRUE,game,1,m,3,f,30,c,e,c,b,b,b,a,a,a,b,b,c,3,4,4,4,4,4,3,3,3,3,3,4,5,6,4,5,5,6,6,4,5,7,7,6,8,8,3,8,9,8,9,No,0,NA,NA,a,4,single,2/23/2023 23:43
en,TRUE,2603,1,m,4,m,32,a,d,b,d,d,e,c,c,c,c,c,c,1,2,1,2,1,2,1,2,1,2,1,3,1,2,3,1,2,3,1,2,3,4,3,6,4,2,10,10,8,7,6,Yes,4,4,2,a,2,in relationship,3/21/2023 13:09
pl,TRUE,NA,1,m,4,m,18,d,c,c,a,a,a,c,b,b,c,b,b,6,1,6,6,0,0,0,0,1,6,0,0,1,1,1,6,3,2,6,0,5,8,10,10,9,10,9,10,10,11,10,Nie,0,NA,NA,b,2,single,2/12/2023 17:39
pl,TRUE,AB12,1,f,0,m,21,e,c,e,c,a,e,c,a,c,b,b,b,0,5,2,2,0,6,0,3,6,6,6,6,0,6,0,0,6,0,6,0,6,3,6,11,7,11,9,11,11,6,11,Nie,0,NA,NA,b,2,single,2/13/2023 16:29
en,TRUE,game,1,f,4,f,30,a,d,a,e,c,c,a,c,c,c,c,a,4,5,4,4,5,4,5,5,4,4,4,3,4,3,4,3,4,3,4,5,4,6,6,6,6,7,6,7,6,7,7,Yes,2,10,12,b,2,in relationship,3/10/2023 23:41
pl,TRUE,MISIAK,1,m,6,m,30,e,b,d,b,e,e,a,c,a,c,a,c,0,3,4,5,0,1,0,0,3,6,3,2,1,0,5,6,6,3,4,0,2,7,9,7,8,9,7,9,10,8,7,Nie,0,NA,NA,b,2,in relationship,1/30/2023 22:22
en,TRUE,NA,1,f,1,m,24,b,e,b,e,a,e,a,b,a,c,c,c,1,2,6,6,1,4,2,5,5,5,6,4,4,3,5,5,5,3,3,1,5,8,6,9,8,4,9,6,9,8,8,No,0,NA,NA,b,2,single,3/29/2023 16:20
en,TRUE,NA,1,m,2,f,40,e,b,e,b,e,c,a,c,b,a,a,a,2,1,2,1,2,1,2,1,2,1,2,1,3,2,3,2,3,2,3,2,3,3,4,5,5,6,5,7,1,5,2,Yes,2,1,3,b,2,in relationship,3/29/2023 15:58
en,TRUE,game,1,m,0,f,29,e,c,e,b,a,b,c,c,a,c,a,c,2,6,5,5,0,2,1,1,1,5,4,3,3,2,3,4,6,5,4,5,5,7,6,7,6,9,6,6,7,6,7,No,0,NA,NA,b,2,in relationship,2/6/2023 23:16
en,TRUE,NA,1,f,2,m,35,b,b,b,b,e,d,b,b,b,b,b,c,5,5,4,5,5,4,5,5,4,5,5,5,5,4,5,4,4,5,5,4,5,8,9,8,9,8,8,9,8,9,8,Yes,1,5,NA,a,2,in relationship,3/10/2023 23:15
pl,TRUE,NA,1,m,2,f,24,e,a,b,d,c,b,c,b,c,c,c,b,1,1,1,1,1,2,1,1,2,4,0,1,1,1,2,1,0,1,3,1,2,7,6,9,7,5,8,6,7,7,6,Nie,0,NA,NA,a,2,in relationship,1/9/2023 18:38
en,TRUE,game,1,m,3,f,32,d,d,e,e,a,b,a,b,c,a,a,a,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,6,6,6,6,6,6,6,6,Yes,1,10,NA,b,2,in relationship,2/23/2023 23:48
pl,TRUE,Kg0902,1,m,0,f,27,d,e,d,e,c,a,c,b,c,b,a,c,1,0,1,1,0,3,1,0,4,5,1,0,2,0,4,2,3,1,3,0,1,2,6,7,5,7,2,7,7,9,8,Nie,0,NA,NA,b,2,in relationship,1/7/2023 22:03
en,TRUE,game,1,m,0,f,52,c,e,b,e,e,a,b,c,a,c,c,b,5,1,6,6,0,2,2,0,2,5,1,5,5,1,2,5,1,6,5,0,0,2,5,9,9,9,2,9,9,9,9,Yes,2,20,22,b,2,in relationship,2/6/2023 23:11
en,TRUE,game,2,f,1,m,27,e,c,b,d,c,e,c,c,c,c,a,a,3,2,2,3,3,4,3,3,3,4,4,4,3,4,3,3,4,3,3,4,3,8,7,7,9,9,8,7,6,8,9,No,0,NA,NA,b,2,single,2/7/2023 2:38
pl,TRUE,NA,1,m,6,m,21,a,a,e,a,a,e,a,a,c,c,a,b,0,3,5,5,0,0,1,1,1,6,2,4,0,4,0,5,6,1,6,0,1,7,7,9,5,4,8,7,8,7,6,Nie,0,NA,NA,b,2,single,2/13/2023 11:48
en,TRUE,game,1,m,0,f,25,c,b,b,a,c,e,a,a,c,b,b,b,4,3,3,4,4,5,5,4,3,3,4,3,3,2,1,2,3,4,3,3,2,5,6,6,8,4,6,7,6,5,6,No,0,NA,NA,a,2,single,3/29/2023 16:59
pl,TRUE,NA,1,m,0,f,26,e,e,e,d,a,e,c,a,c,a,a,b,5,2,5,6,0,1,4,1,4,6,2,3,4,3,4,3,5,2,4,1,2,6,7,9,7,7,7,7,10,7,5,Nie,0,NA,NA,b,2,in relationship,12/17/2022 23:33
pl,TRUE,AB12,1,f,0,m,24,c,a,e,e,c,b,c,b,c,c,c,c,1,4,4,5,0,5,1,1,5,4,1,5,4,1,4,0,3,4,1,1,5,5,11,9,10,8,3,11,9,9,10,Nie,0,NA,NA,b,2,other,12/29/2022 2:04
pl,TRUE,NA,1,f,0,m,28,e,c,d,d,e,e,c,a,b,a,b,b,5,3,4,5,0,1,3,1,4,5,2,4,6,1,1,4,2,5,6,1,6,9,9,9,7,7,9,10,10,9,10,Nie,0,NA,NA,b,2,in relationship,12/16/2022 20:12
pl,TRUE,KG0902,1,f,0,m,36,a,c,a,a,b,a,b,b,b,b,b,b,3,0,6,6,0,5,0,0,6,6,6,5,6,0,6,6,6,6,6,0,6,2,6,6,11,6,6,6,6,11,6,Nie,0,NA,NA,b,2,in relationship,1/5/2023 18:13
pl,TRUE,NA,1,m,0,f,27,e,c,d,d,a,b,c,c,c,c,c,c,0,2,3,0,1,5,0,0,5,0,0,3,0,0,5,0,3,4,0,0,5,7,5,6,5,7,7,7,6,7,9,Nie,0,NA,NA,b,2,in relationship,2/7/2023 10:44
en,TRUE,NA,1,m,0,f,30,a,a,b,a,e,c,c,b,c,b,a,b,5,4,5,5,4,4,4,5,6,6,5,5,5,5,6,5,6,6,6,5,5,3,10,9,10,8,7,7,7,6,6,Yes,1,5,NA,b,2,in relationship,3/7/2023 19:00
pl,TRUE,AB12,1,f,2,m,24,e,c,d,b,b,e,c,b,c,c,b,c,1,2,4,4,0,0,0,0,3,4,2,6,2,1,4,4,6,5,3,0,2,9,8,10,6,6,8,10,10,7,8,Nie,0,NA,NA,b,2,in relationship,12/30/2022 19:01
en,TRUE,game,1,m,3,m,32,c,d,b,b,c,e,c,a,a,b,c,b,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,Yes,1,2,NA,b,2,in relationship,2/6/2023 21:58
en,TRUE,INSTAGRAM STUDY,1,f,2,m,22,e,a,e,d,e,b,c,b,c,c,c,a,0,3,5,4,0,4,1,0,3,5,4,5,5,0,4,5,4,5,5,4,5,7,6,7,7,7,8,9,8,8,8,No,0,NA,NA,a,2,single,1/23/2023 17:16
pl,TRUE,AC3,1,f,6,f,18,e,e,a,e,c,e,c,b,c,b,a,c,4,4,2,5,0,0,1,0,2,6,0,3,5,0,1,3,6,1,4,0,0,8,6,7,7,7,6,6,8,6,5,Nie,0,NA,NA,b,2,in relationship,2/9/2023 13:47
pl,TRUE,KG0902,1,m,6,m,32,e,c,a,a,a,a,b,c,c,c,a,c,4,4,6,0,0,2,1,0,3,2,0,1,1,2,3,2,3,4,4,0,5,11,10,9,11,10,10,9,10,11,11,Nie,0,NA,NA,b,2,in relationship,1/8/2023 17:01
pl,TRUE,KG0902,1,f,1,m,21,e,c,d,b,d,e,a,c,a,a,c,b,0,2,5,1,4,5,0,0,2,4,5,3,6,4,3,0,3,6,6,0,6,6,6,4,5,7,6,6,7,9,8,Nie,0,NA,NA,b,2,single,1/5/2023 14:52
pl,TRUE,NA,1,m,4,m,35,b,e,d,d,d,e,b,b,c,b,b,b,4,0,3,5,0,4,3,0,3,4,0,4,4,0,4,1,0,3,5,0,4,10,7,7,6,7,10,8,9,9,8,Tak,1,12,NA,a,2,other,1/29/2023 1:58
en,TRUE,game,1,f,0,m,43,c,c,e,e,a,b,c,b,c,a,a,c,5,4,4,5,1,4,3,1,4,5,4,3,4,2,5,3,3,4,3,1,4,6,7,8,7,6,6,7,9,8,7,Yes,2,17,15,b,2,in relationship,2/6/2023 23:08
pl,TRUE,NA,1,m,0,f,19,e,c,c,d,a,e,c,a,b,c,c,c,0,1,1,4,4,4,0,0,1,5,0,1,4,4,5,5,5,4,3,6,5,7,7,9,8,7,7,6,9,9,6,Nie,0,NA,NA,a,2,single,12/17/2022 22:35
en,TRUE,game,2,m,3,m,32,b,e,d,a,b,c,c,c,a,c,b,a,5,5,3,4,3,4,3,4,4,5,5,3,2,3,2,3,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,No,0,NA,NA,a,2,in relationship,3/29/2023 17:58
en,TRUE,game,1,m,0,f,35,d,c,c,d,b,e,a,a,c,a,b,a,2,4,3,2,3,2,4,2,4,2,3,1,2,1,2,3,2,3,4,4,3,7,7,7,7,7,7,7,8,7,7,Yes,1,10,NA,b,2,in relationship,3/29/2023 16:03
en,TRUE,game,1,f,1,m,35,d,b,b,c,d,b,a,b,a,c,b,c,4,3,2,5,4,5,3,4,5,2,4,4,3,4,1,3,3,4,3,5,4,8,8,4,8,8,8,8,8,4,8,Yes,2,10,9,b,2,in relationship,3/21/2023 13:47
pl,TRUE,KG0902,1,m,1,f,23,e,a,e,d,b,c,a,c,b,b,c,b,4,1,6,0,0,0,0,0,3,6,1,2,2,0,4,6,5,6,0,0,4,7,11,10,6,7,9,11,9,11,6,Nie,0,NA,NA,b,3,in relationship,1/29/2023 18:40
pl,TRUE,AB12,1,f,3,m,29,a,a,a,d,a,e,c,c,c,a,b,b,4,1,5,6,0,0,4,0,5,6,1,6,2,0,3,5,6,1,2,0,6,7,4,8,6,4,7,6,9,6,9,Nie,0,NA,NA,a,2,in relationship,1/11/2023 2:24
en,TRUE,NA,1,f,0,m,36,a,c,b,d,a,a,c,c,b,c,b,c,2,2,3,5,3,1,1,3,2,3,5,1,5,6,4,5,6,4,3,5,5,6,10,8,4,6,5,10,9,6,7,No,0,NA,NA,b,2,in relationship,2/7/2023 3:52
pl,TRUE,AB12,1,f,5,f,23,e,c,e,d,a,e,a,c,a,c,a,b,5,6,6,6,3,4,3,1,3,6,6,6,5,6,4,3,6,6,5,6,6,2,5,10,4,2,5,7,10,8,7,Nie,0,NA,NA,b,2,other,12/31/2022 0:06
en,TRUE,game,1,m,4,m,30,d,d,e,e,e,a,a,c,a,c,c,b,5,6,3,5,6,3,6,4,4,6,5,3,6,3,4,6,2,4,6,5,2,9,11,7,8,6,6,9,6,11,5,Yes,1,5,NA,a,2,in relationship,3/7/2023 21:05
pl,TRUE,AB12,1,f,0,m,25,a,c,e,d,a,b,b,b,c,c,b,b,2,2,0,5,0,0,4,0,0,4,2,5,6,5,3,3,5,3,5,4,1,7,6,6,6,6,6,6,6,6,6,Nie,0,NA,NA,a,2,in relationship,12/28/2022 20:27
pl,TRUE,AB12,1,f,2,m,22,a,b,a,b,c,a,c,b,c,c,a,b,4,1,4,4,1,4,3,0,5,6,0,6,5,2,3,3,5,6,4,2,4,9,7,8,9,6,7,8,8,8,7,Nie,0,NA,NA,a,2,in relationship,12/28/2022 10:23
en,TRUE,game,1,f,5,f,42,c,e,d,e,b,e,c,c,a,b,c,c,5,3,4,5,4,3,4,2,3,5,4,3,4,5,6,4,3,4,2,3,4,7,7,7,7,8,7,7,7,6,8,Yes,1,8,NA,b,2,in relationship,3/7/2023 20:36
pl,TRUE,AB12,1,f,5,f,22,e,b,a,b,a,e,c,b,a,a,b,a,5,1,4,6,0,2,6,0,2,6,0,2,6,1,5,3,2,1,5,2,4,10,8,8,7,8,9,8,8,8,8,Nie,0,NA,NA,b,2,single,12/28/2022 14:20
pl,TRUE,NA,1,m,3,f,21,e,a,e,a,a,e,c,b,b,c,b,b,4,0,5,5,0,2,0,0,3,5,0,4,5,1,2,2,0,5,4,0,2,8,6,9,7,6,7,6,6,7,6,Nie,0,NA,NA,a,2,in relationship,1/9/2023 18:43
pl,TRUE,NA,2,m,0,f,29,b,b,d,b,a,e,b,a,b,c,c,a,6,0,6,6,0,0,6,0,0,6,6,6,6,0,0,0,0,0,6,0,6,10,11,11,11,11,10,11,11,7,11,Nie,0,NA,NA,b,0,single,12/17/2022 14:08
en,TRUE,game,1,f,0,m,25,b,d,b,b,a,a,b,b,a,c,b,a,2,6,5,6,1,3,4,1,5,3,4,3,2,5,3,4,5,3,4,6,3,11,10,11,9,8,10,9,9,10,9,Yes,2,2,4,a,2,in relationship,3/29/2023 16:34
pl,TRUE,KG0902,1,f,2,m,21,a,e,e,e,e,b,c,a,b,b,b,b,3,1,2,5,0,4,3,1,5,6,6,5,3,0,5,3,6,0,6,4,3,8,10,10,9,7,8,9,10,8,7,Nie,0,NA,NA,a,2,single,1/6/2023 14:31
en,TRUE,12345,1,m,6,m,30,d,d,b,a,c,b,c,b,a,a,a,a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,4,9,2,3,3,2,3,Yes,2,4,2,a,0,in relationship,2/6/2023 21:38
pl,TRUE,NA,1,m,6,m,19,c,a,b,b,a,e,c,b,c,c,b,c,2,3,4,2,0,5,0,0,3,4,3,4,3,1,4,5,1,2,3,0,5,10,5,8,10,10,8,8,10,10,7,Nie,0,NA,NA,b,2,single,2/13/2023 16:13
en,TRUE,NA,1,f,4,f,52,b,b,e,b,a,c,b,b,b,a,b,b,2,3,4,5,1,2,1,1,3,2,4,3,3,1,2,4,5,3,5,4,5,4,5,4,5,4,4,5,6,5,4,Yes,2,22,20,b,2,in relationship,3/29/2023 16:25
pl,TRUE,AB13,1,m,5,m,20,b,b,c,a,c,d,c,c,c,c,b,b,1,3,3,4,1,4,1,1,4,4,2,3,2,2,4,2,4,5,5,1,3,6,9,7,7,6,7,8,8,8,8,Nie,0,NA,NA,a,2,single,2/9/2023 16:15
pl,TRUE,KG0902,1,f,1,m,22,b,c,e,b,c,e,c,c,a,c,b,a,2,4,5,2,3,3,0,1,4,4,3,1,1,0,1,4,3,4,1,2,2,7,5,8,7,6,6,8,8,8,11,Nie,0,NA,NA,b,2,single,1/5/2023 19:36
en,TRUE,game,1,f,0,m,35,e,c,d,b,c,c,c,c,c,c,c,c,2,3,2,3,2,3,2,3,4,3,4,1,2,3,2,3,4,3,3,3,2,7,7,8,7,7,9,7,7,7,7,Yes,1,10,NA,b,2,in relationship,3/29/2023 16:09
en,TRUE,GAME,1,m,4,m,30,a,d,d,e,b,c,b,b,c,a,a,a,5,6,6,6,5,6,5,6,5,6,5,5,6,5,6,5,6,5,6,5,6,9,9,5,10,9,2,8,9,8,8,Yes,1,4,NA,a,2,in relationship,3/7/2023 19:22
pl,TRUE,NA,1,f,0,m,22,e,a,d,d,a,d,c,c,b,c,c,b,4,1,4,5,0,2,0,0,1,4,3,2,2,3,4,4,3,1,4,0,0,7,9,7,8,6,6,8,7,7,7,Nie,0,NA,NA,a,2,single,1/9/2023 21:07
pl,TRUE,NA,1,f,0,m,30,e,c,a,d,e,e,c,c,b,c,c,b,6,0,6,6,6,6,0,0,4,6,6,6,3,6,6,0,6,6,0,3,6,9,6,10,2,8,9,11,11,9,11,Nie,0,NA,NA,a,2,in relationship,12/16/2022 22:24
en,TRUE,GAME,1,f,2,m,35,d,a,a,a,a,e,c,c,a,a,b,c,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,4,3,4,5,3,2,6,7,4,4,5,5,5,Yes,2,2,5,a,2,in relationship,3/29/2023 16:04
pl,TRUE,AB13,1,m,5,m,21,b,b,a,e,b,c,c,b,c,c,c,c,4,1,4,6,0,6,0,0,5,5,2,4,2,4,1,5,0,4,0,0,1,5,8,7,7,4,8,7,8,6,6,Nie,0,NA,NA,b,1,other,2/13/2023 15:35
en,TRUE,NA,1,m,4,m,45,b,e,b,c,a,b,a,a,b,a,a,b,4,2,4,2,3,4,3,5,2,4,5,4,3,4,4,6,4,4,2,4,6,2,2,2,3,4,6,5,4,4,3,Yes,2,1,2,a,2,in relationship,2/6/2023 21:06
en,TRUE,game,1,m,6,m,25,c,d,b,b,d,d,b,b,b,c,c,b,4,2,1,6,2,1,0,6,0,3,2,1,6,6,6,6,6,5,6,6,5,1,1,1,4,4,2,11,11,5,5,Yes,1,2,NA,a,6,in relationship,3/13/2023 22:27
pl,TRUE,NA,1,f,1,m,23,a,c,a,b,c,e,c,c,c,c,b,b,5,5,6,6,0,6,1,0,4,4,6,2,3,3,5,6,6,5,5,5,5,9,6,7,7,4,7,6,8,7,8,Nie,0,NA,NA,a,2,single,1/11/2023 1:11
pl,TRUE,KG0902,1,f,2,m,23,e,b,e,d,c,a,b,c,b,c,b,c,4,6,5,5,5,3,1,1,5,4,3,6,2,4,4,4,6,4,3,5,6,4,6,7,7,3,6,8,8,7,8,Nie,0,NA,NA,b,2,single,1/8/2023 18:42
pl,TRUE,AB12,1,m,0,f,32,e,c,e,d,a,e,c,c,a,a,b,a,2,1,3,6,0,3,1,0,0,5,0,1,4,0,1,6,0,3,6,2,3,8,8,5,7,10,6,7,6,7,6,Nie,0,NA,NA,b,2,in relationship,12/29/2022 3:59
en,TRUE,1.23457E+20,1,m,6,m,62,b,a,e,a,b,c,c,c,c,a,c,b,6,5,4,5,4,6,5,5,5,6,5,2,4,5,6,5,5,4,5,6,5,8,5,9,1,1,2,5,5,4,8,Yes,2,7,5,a,2,in relationship,3/13/2023 23:23
pl,TRUE,NA,1,f,2,m,20,e,b,a,b,e,e,c,c,a,a,c,b,1,2,1,2,2,1,0,0,1,2,2,5,5,5,4,4,5,6,5,4,5,9,7,9,4,6,9,7,9,6,6,Nie,0,NA,NA,b,2,single,12/17/2022 18:52
en,TRUE,game,1,m,0,f,35,b,e,d,b,e,e,c,c,a,c,c,a,2,3,4,3,3,2,4,3,3,4,3,3,2,3,3,4,3,3,4,3,3,2,3,2,4,3,2,3,2,3,2,Yes,1,10,NA,b,2,in relationship,3/29/2023 16:03
pl,TRUE,KG0902,1,f,0,m,22,c,c,a,a,d,b,c,c,c,b,c,b,2,2,4,3,3,2,0,1,4,3,3,5,3,2,5,3,3,6,4,0,2,2,7,11,2,5,5,11,11,10,11,Nie,0,NA,NA,a,2,in relationship,1/7/2023 14:09
en,TRUE,game,1,f,2,m,21,c,c,e,c,d,b,c,b,b,a,c,c,1,4,5,6,0,2,3,1,0,6,5,6,6,5,4,6,6,4,6,0,3,3,2,9,5,8,6,7,10,5,7,No,0,NA,NA,b,2,in relationship,2/6/2023 22:57
pl,TRUE,NA,1,f,0,m,28,c,c,d,d,d,d,a,c,c,b,b,b,2,4,4,2,3,3,2,0,1,4,2,6,1,3,2,2,5,6,4,3,2,7,6,9,5,3,7,8,10,7,10,Nie,0,NA,NA,b,2,in relationship,12/16/2022 17:02
pl,TRUE,KG0902,1,f,0,m,21,e,b,e,d,a,d,c,a,c,a,c,b,2,3,5,5,3,5,4,3,4,5,4,0,1,3,5,4,5,6,4,4,2,5,5,8,6,6,3,7,8,7,7,Nie,0,NA,NA,a,2,single,1/7/2023 15:45
en,TRUE,game,1,f,3,m,25,a,c,b,d,b,c,b,c,b,c,b,a,3,2,3,3,4,4,3,4,4,3,4,2,3,4,1,5,5,5,6,5,5,5,4,6,4,4,4,5,4,4,4,Yes,2,3,1,b,2,in relationship,3/29/2023 16:04
pl,TRUE,NA,1,f,0,m,28,e,c,a,e,a,b,c,b,c,c,c,b,2,2,2,2,0,1,1,0,1,6,3,2,2,6,2,1,3,2,2,6,1,4,6,7,8,8,1,11,9,9,8,Nie,0,NA,NA,b,2,in relationship,2/7/2023 9:29
en,TRUE,NA,2,f,6,f,47,e,d,d,d,e,b,c,a,b,a,c,b,6,6,5,6,5,6,6,5,6,6,5,6,5,6,6,5,6,6,5,6,5,1,1,3,4,2,10,10,2,1,7,Yes,2,-1,1,b,5,in relationship,3/7/2023 20:54
en,TRUE,NA,1,f,6,f,34,c,d,b,e,c,a,c,c,a,b,a,a,0,0,3,0,0,6,0,4,5,5,2,6,1,0,6,0,6,6,6,6,3,3,9,11,9,7,2,3,11,11,8,Yes,1,2,NA,b,2,in relationship,3/29/2023 16:07
en,TRUE,NA,1,f,1,m,25,e,e,e,e,c,e,b,b,a,c,c,b,0,0,0,5,0,0,0,0,1,6,1,1,3,0,1,4,0,1,4,0,1,11,6,8,9,6,9,6,9,9,6,No,0,NA,NA,b,2,in relationship,12/16/2022 17:07
pl,TRUE,NA,1,f,1,m,27,e,e,b,d,c,e,c,c,a,c,b,c,0,5,5,0,3,0,0,0,4,2,5,4,0,0,5,0,5,5,0,6,0,9,10,5,10,7,9,10,8,10,7,Nie,0,NA,NA,a,2,single,12/17/2022 15:39
en,TRUE,game,1,m,1,f,30,b,b,b,d,d,c,c,a,b,b,c,a,6,6,5,5,5,6,5,6,6,5,6,6,6,5,5,6,5,5,6,6,5,8,8,8,8,8,8,8,8,8,8,Yes,2,2,5,a,2,in relationship,2/6/2023 21:08
